# Log de procesamiento — a8_leo
Fecha: 8/4/2026, 1:04:38 p.m.

## Tiempos por archivo
| Archivo | Tiempo (ms) |
| 225_sorted.txt | 0.212 |
| 356_sorted.txt | 1.065 |
| 306_sorted.txt | 0.305 |
| 227_sorted.txt | 0.056 |
| 484_sorted.txt | 0.280 |
| 175_sorted.txt | 0.123 |
| 421_sorted.txt | 0.443 |
| 209_sorted.txt | 0.266 |
| 460_sorted.txt | 0.212 |
| 431_sorted.txt | 0.306 |
| 193_sorted.txt | 0.176 |
| 199_sorted.txt | 0.303 |
| 068_sorted.txt | 0.179 |
| 058_sorted.txt | 0.430 |
| 313_sorted.txt | 0.561 |
| 077_sorted.txt | 1.745 |
| 164_sorted.txt | 0.337 |
| 345_sorted.txt | 2.838 |
| 081_sorted.txt | 0.134 |
| 194_sorted.txt | 0.266 |
| 224_sorted.txt | 0.130 |
| 251_sorted.txt | 0.560 |
| 343_sorted.txt | 2.180 |
| 019_sorted.txt | 1.648 |
| 139_sorted.txt | 0.250 |
| 370_sorted.txt | 3.838 |
| 366_sorted.txt | 2.732 |
| 228_sorted.txt | 0.234 |
| 499_sorted.txt | 0.131 |
| 361_sorted.txt | 2.665 |
| 039_sorted.txt | 0.160 |
| 346_sorted.txt | 2.862 |
| 311_sorted.txt | 0.861 |
| 286_sorted.txt | 0.736 |
| 024_sorted.txt | 0.156 |
| 082_sorted.txt | 0.779 |
| 379_sorted.txt | 0.843 |
| 270_sorted.txt | 0.426 |
| 316_sorted.txt | 0.411 |
| 215_sorted.txt | 0.268 |
| 469_sorted.txt | 0.278 |
| 165_sorted.txt | 0.099 |
| 334_sorted.txt | 0.661 |
| 162_sorted.txt | 0.158 |
| 127_sorted.txt | 0.089 |
| 280_sorted.txt | 1.095 |
| 298_sorted.txt | 10.314 |
| 462_sorted.txt | 1.209 |
| 007_sorted.txt | 1.777 |
| 403_sorted.txt | 0.543 |
| 221_sorted.txt | 0.305 |
| 247_sorted.txt | 1.099 |
| 296_sorted.txt | 0.309 |
| 217_sorted.txt | 0.089 |
| 151_sorted.txt | 0.127 |
| 371_sorted.txt | 3.286 |
| 495_sorted.txt | 0.207 |
| 326_sorted.txt | 1.214 |
| 239_sorted.txt | 0.670 |
| 437_sorted.txt | 6.846 |
| 406_sorted.txt | 0.204 |
| 338_sorted.txt | 3.579 |
| 030_sorted.txt | 0.272 |
| 185_sorted.txt | 0.311 |
| 442_sorted.txt | 0.111 |
| 237_sorted.txt | 0.445 |
| 169_sorted.txt | 0.128 |
| 304_sorted.txt | 1.784 |
| 171_sorted.txt | 0.102 |
| 232_sorted.txt | 0.355 |
| 281_sorted.txt | 1.037 |
| 211_sorted.txt | 0.209 |
| 430_sorted.txt | 0.173 |
| 354_sorted.txt | 2.985 |
| 470_sorted.txt | 0.170 |
| 322_sorted.txt | 0.404 |
| 412_sorted.txt | 0.358 |
| 206_sorted.txt | 0.237 |
| 197_sorted.txt | 0.558 |
| 478_sorted.txt | 0.181 |
| 181_sorted.txt | 1.642 |
| 104_sorted.txt | 0.180 |
| 317_sorted.txt | 0.207 |
| 038_sorted.txt | 0.335 |
| 031_sorted.txt | 0.148 |
| 405_sorted.txt | 0.411 |
| 003_sorted.txt | 0.118 |
| 093_sorted.txt | 0.095 |
| 124_sorted.txt | 0.454 |
| 480_sorted.txt | 1.269 |
| 464_sorted.txt | 0.433 |
| 341_sorted.txt | 3.268 |
| 002_sorted.txt | 1.760 |
| 157_sorted.txt | 0.157 |
| 238_sorted.txt | 0.410 |
