Nombre del archivo                      tf.idf                                  
330_sorted.txt                          0.1127                                  
339_sorted.txt                          0.0168                                  
323_sorted.txt                          0.0396                                  
394_sorted.txt                          0.0379                                  
292_sorted.txt                          0.0301                                  
043_sorted.txt                          0.0061                                  
385_sorted.txt                          0.0285                                  
377_sorted.txt                          0.0324                                  
390_sorted.txt                          0.0401                                  
361_sorted.txt                          0.0368                                  
082_sorted.txt                          0.0467                                  
124_sorted.txt                          0.0969                                  
372_sorted.txt                          0.0192                                  
350_sorted.txt                          0.0176                                  
375_sorted.txt                          0.0520                                  
345_sorted.txt                          0.0187                                  
346_sorted.txt                          0.0157                                  
341_sorted.txt                          0.0182                                  
364_sorted.txt                          0.0241                                  
159_sorted.txt                          0.0747                                  
279_sorted.txt                          0.0205                                  
010_sorted.txt                          0.2132                                  
008_sorted.txt                          0.2924                                  
292_sorted.txt                          0.0603                                  
342_sorted.txt                          0.0176                                  
019_sorted.txt                          0.0609                                  
365_sorted.txt                          0.0160                                  
336_sorted.txt                          0.0212                                  
375_sorted.txt                          0.0173                                  
346_sorted.txt                          0.0157                                  
348_sorted.txt                          0.0658                                  
357_sorted.txt                          0.0476                                  
372_sorted.txt                          0.0575                                  
374_sorted.txt                          0.1243                                  
359_sorted.txt                          0.0347                                  
351_sorted.txt                          0.0260                                  
363_sorted.txt                          0.0158                                  
366_sorted.txt                          0.0178                                  
308_sorted.txt                          0.0257                                  
118_sorted.txt                          0.0907                                  
307_sorted.txt                          0.1577                                  
304_sorted.txt                          0.0355                                  
373_sorted.txt                          0.0099                                  
371_sorted.txt                          0.0104                                  
354_sorted.txt                          0.0123                                  
289_sorted.txt                          0.0320                                  
408_sorted.txt                          0.0973                                  
427_sorted.txt                          0.0867                                  
197_sorted.txt                          0.0804                                  
336_sorted.txt                          0.0212                                  
374_sorted.txt                          0.0178                                  
377_sorted.txt                          0.0162                                  
366_sorted.txt                          0.0178                                  
364_sorted.txt                          0.0120                                  
289_sorted.txt                          0.0320                                  
101_sorted.txt                          0.0515                                  
266_sorted.txt                          0.1906                                  
333_sorted.txt                          0.0436                                  
331_sorted.txt                          0.0260                                  
349_sorted.txt                          0.0168                                  
233_sorted.txt                          0.1479                                  
256_sorted.txt                          0.1274                                  
285_sorted.txt                          0.2924                                  
243_sorted.txt                          0.0397                                  
272_sorted.txt                          0.2667                                  
292_sorted.txt                          0.0301                                  
267_sorted.txt                          0.0482                                  
252_sorted.txt                          0.0752                                  
287_sorted.txt                          0.0434                                  
396_sorted.txt                          0.3394                                  
027_sorted.txt                          0.0127                                  
234_sorted.txt                          0.0289                                  
286_sorted.txt                          0.0517                                  
270_sorted.txt                          0.0936                                  
334_sorted.txt                          0.1044                                  
238_sorted.txt                          0.1359                                  
240_sorted.txt                          0.0534                                  
383_sorted.txt                          0.0299                                  
373_sorted.txt                          0.0099                                  
371_sorted.txt                          0.0208                                  
354_sorted.txt                          0.0246                                  
368_sorted.txt                          0.0394                                  
353_sorted.txt                          0.0447                                  
374_sorted.txt                          0.0178                                  
377_sorted.txt                          0.0162                                  
346_sorted.txt                          0.0157                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
436_sorted.txt                          0.0053                                  
373_sorted.txt                          0.0099                                  
371_sorted.txt                          0.0313                                  
354_sorted.txt                          0.0123                                  
368_sorted.txt                          0.0197                                  
337_sorted.txt                          0.0335                                  
363_sorted.txt                          0.0158                                  
342_sorted.txt                          0.0351                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
436_sorted.txt                          0.0053                                  
344_sorted.txt                          0.0349                                  
349_sorted.txt                          0.0168                                  
368_sorted.txt                          0.0197                                  
372_sorted.txt                          0.0192                                  
350_sorted.txt                          0.0176                                  
369_sorted.txt                          0.0170                                  
352_sorted.txt                          0.0253                                  
337_sorted.txt                          0.0335                                  
351_sorted.txt                          0.0260                                  
342_sorted.txt                          0.0176                                  
338_sorted.txt                          0.0153                                  
364_sorted.txt                          0.0120                                  
400_sorted.txt                          0.6024                                  
415_sorted.txt                          0.5747                                  
413_sorted.txt                          0.6061                                  
432_sorted.txt                          0.5650                                  
411_sorted.txt                          0.6024                                  
422_sorted.txt                          0.5747                                  
402_sorted.txt                          0.5714                                  
407_sorted.txt                          0.1938                                  
410_sorted.txt                          0.1976                                  
398_sorted.txt                          0.1965                                  
404_sorted.txt                          0.5714                                  
420_sorted.txt                          0.5714                                  
429_sorted.txt                          0.1957                                  
423_sorted.txt                          0.1931                                  
417_sorted.txt                          0.5714                                  
399_sorted.txt                          0.5917                                  
418_sorted.txt                          0.1938                                  
416_sorted.txt                          0.1942                                  
425_sorted.txt                          0.1931                                  
027_sorted.txt                          0.0127                                  
424_sorted.txt                          0.5747                                  
409_sorted.txt                          0.5747                                  
401_sorted.txt                          0.1957                                  
421_sorted.txt                          0.1934                                  
431_sorted.txt                          0.1934                                  
403_sorted.txt                          0.1938                                  
406_sorted.txt                          0.5747                                  
430_sorted.txt                          0.5780                                  
412_sorted.txt                          0.1961                                  
405_sorted.txt                          0.1942                                  
002_sorted.txt                          0.0293                                  
