DocumentID                              Nombre del archivo                      
298                                     150_sorted.txt                          
299                                     022_sorted.txt                          
300                                     066_sorted.txt                          
301                                     079_sorted.txt                          
302                                     037_sorted.txt                          
303                                     446_sorted.txt                          
304                                     419_sorted.txt                          
305                                     426_sorted.txt                          
306                                     135_sorted.txt                          
307                                     051_sorted.txt                          
308                                     125_sorted.txt                          
309                                     143_sorted.txt                          
310                                     029_sorted.txt                          
311                                     058_sorted.txt                          
312                                     205_sorted.txt                          
313                                     232_sorted.txt                          
314                                     182_sorted.txt                          
315                                     103_sorted.txt                          
316                                     306_sorted.txt                          
317                                     194_sorted.txt                          
318                                     192_sorted.txt                          
319                                     202_sorted.txt                          
320                                     222_sorted.txt                          
321                                     041_sorted.txt                          
322                                     230_sorted.txt                          
323                                     105_sorted.txt                          
324                                     332_sorted.txt                          
325                                     017_sorted.txt                          
326                                     098_sorted.txt                          
327                                     112_sorted.txt                          
328                                     251_sorted.txt                          
329                                     119_sorted.txt                          
330                                     220_sorted.txt                          
331                                     004_sorted.txt                          
332                                     188_sorted.txt                          
333                                     063_sorted.txt                          
334                                     178_sorted.txt                          
335                                     147_sorted.txt                          
336                                     056_sorted.txt                          
337                                     096_sorted.txt                          
338                                     228_sorted.txt                          
339                                     185_sorted.txt                          
340                                     084_sorted.txt                          
341                                     428_sorted.txt                          
342                                     086_sorted.txt                          
343                                     386_sorted.txt                          
344                                     163_sorted.txt                          
345                                     213_sorted.txt                          
346                                     110_sorted.txt                          
347                                     138_sorted.txt                          
348                                     472_sorted.txt                          
349                                     121_sorted.txt                          
350                                     283_sorted.txt                          
351                                     478_sorted.txt                          
352                                     204_sorted.txt                          
353                                     293_sorted.txt                          
354                                     321_sorted.txt                          
355                                     276_sorted.txt                          
356                                     271_sorted.txt                          
357                                     055_sorted.txt                          
358                                     264_sorted.txt                          
359                                     453_sorted.txt                          
360                                     133_sorted.txt                          
361                                     316_sorted.txt                          
362                                     132_sorted.txt                          
363                                     187_sorted.txt                          
364                                     073_sorted.txt                          
365                                     484_sorted.txt                          
366                                     322_sorted.txt                          
367                                     106_sorted.txt                          
368                                     483_sorted.txt                          
369                                     489_sorted.txt                          
370                                     476_sorted.txt                          
