# Log de procesamiento — a7_leo

## Tiempos por archivo
| Archivo | Tiempo (ms) |
| 144_sorted.txt | 0.147 |
| 482_sorted.txt | 0.058 |
| 502_sorted.txt | 0.189 |
| 184_sorted.txt | 0.223 |
| 254_sorted.txt | 0.538 |
| 109_sorted.txt | 0.155 |
| 114_sorted.txt | 0.258 |
| 205_sorted.txt | 0.383 |
| 138_sorted.txt | 0.133 |
| 327_sorted.txt | 0.259 |
| 365_sorted.txt | 2.819 |
| 183_sorted.txt | 0.151 |
| 064_sorted.txt | 0.432 |
| 067_sorted.txt | 0.204 |
| 240_sorted.txt | 1.137 |
| 136_sorted.txt | 0.271 |
| 472_sorted.txt | 0.102 |
| 268_sorted.txt | 0.333 |
| 173_sorted.txt | 0.090 |
| 436_sorted.txt | 5.921 |
| 445_sorted.txt | 0.695 |
| 457_sorted.txt | 0.119 |
| 145_sorted.txt | 0.274 |
| 395_sorted.txt | 0.698 |
| 160_sorted.txt | 0.325 |
| 075_sorted.txt | 0.212 |
| 391_sorted.txt | 0.803 |
| 119_sorted.txt | 0.631 |
| 273_sorted.txt | 0.418 |
| 220_sorted.txt | 0.138 |
| 187_sorted.txt | 0.127 |
| 084_sorted.txt | 0.098 |
| 014_sorted.txt | 0.057 |
| 047_sorted.txt | 0.398 |
| 264_sorted.txt | 0.388 |
| 072_sorted.txt | 0.053 |
| 021_sorted.txt | 0.205 |
| 324_sorted.txt | 0.201 |
| 140_sorted.txt | 0.082 |
| 383_sorted.txt | 1.648 |
| 242_sorted.txt | 0.857 |
| 364_sorted.txt | 4.010 |

| Tiempo total | 553.999 ms |
